country,date,cases,new cases,pop,School closure,Border closure,Event ban,Gathering ban,Venue closure,Lockdown,Work ban
United States,2020-01-21,0,1,327.2,0,0,0,0,0,0,0
United States,2020-01-22,1,0,327.2,0,0,0,0,0,0,0
France,2020-01-23,0,2,67,0,0,0,0,0,0,0
United States,2020-01-23,1,1,327.2,0,0,0,0,0,0,0
France,2020-01-24,2,1,67,0,0,0,0,0,0,0
United States,2020-01-24,2,0,327.2,0,0,0,0,0,0,0
Australia,2020-01-25,0,4,25,0,0,0,0,0,0,0
Canada,2020-01-25,0,1,37.1,0,0,0,0,0,0,0
France,2020-01-25,3,0,67,0,0,0,0,0,0,0
United States,2020-01-25,2,3,327.2,0,0,0,0,0,0,0
Germany,2020-01-26,0,1,82.9,0,0,0,0,0,0,0
Australia,2020-01-26,4,1,25,0,0,0,0,0,0,0
Canada,2020-01-26,1,0,37.1,0,0,0,0,0,0,0
France,2020-01-26,3,0,67,0,0,0,0,0,0,0
United States,2020-01-26,5,0,327.2,0,0,0,0,0,0,0
Australia,2020-01-27,5,0,25,0,0,0,0,0,0,0
Canada,2020-01-27,1,1,37.1,0,0,0,0,0,0,0
Germany,2020-01-27,1,3,82.9,0,0,0,0,0,0,0
France,2020-01-27,3,1,67,0,0,0,0,0,0,0
United States,2020-01-27,5,0,327.2,0,0,0,0,0,0,0
Finland,2020-01-28,0,1,5.5,0,0,0,0,0,0,0
Australia,2020-01-28,5,1,25,0,0,0,0,0,0,0
Canada,2020-01-28,2,0,37.1,0,0,0,0,0,0,0
Germany,2020-01-28,4,0,82.9,0,0,0,0,0,0,0
France,2020-01-28,4,1,67,0,0,0,0,0,0,0
United States,2020-01-28,5,0,327.2,0,0,0,0,0,0,0
Australia,2020-01-29,6,3,25,0,0,0,0,0,0,0
Canada,2020-01-29,2,0,37.1,0,0,0,0,0,0,0
Germany,2020-01-29,4,0,82.9,0,0,0,0,0,0,0
Finland,2020-01-29,1,0,5.5,0,0,0,0,0,0,0
France,2020-01-29,5,0,67,0,0,0,0,0,0,0
United States,2020-01-29,5,0,327.2,0,0,0,0,0,0,0
United Kingdom,2020-01-30,0,2,66.5,0,0,0,0,0,0,0
Italy,2020-01-30,0,2,60.4,0,0,0,0,0,0,0
Sweden,2020-01-30,0,1,10.2,0,0,0,0,0,0,0
Australia,2020-01-30,9,0,25,0,0,0,0,0,0,0
Canada,2020-01-30,2,2,37.1,0,0,0,0,0,0,0
Germany,2020-01-30,4,1,82.9,0,0,0,0,0,0,0
Finland,2020-01-30,1,0,5.5,0,0,0,0,0,0,0
France,2020-01-30,5,0,67,0,0,0,0,0,0,0
United States,2020-01-30,5,2,327.2,0,0,0,0,0,0,0
Spain,2020-01-31,0,1,46.7,0,0,0,0,0,0,0
Australia,2020-01-31,9,3,25,0,0,0,0,0,0,0
Canada,2020-01-31,4,0,37.1,0,0,0,0,0,0,0
Germany,2020-01-31,5,3,82.9,0,0,0,0,0,0,0
Finland,2020-01-31,1,0,5.5,0,0,0,0,0,0,0
France,2020-01-31,5,1,67,0,0,0,0,0,0,0
United Kingdom,2020-01-31,2,0,66.5,0,0,0,0,0,0,0
Italy,2020-01-31,2,0,60.4,0,0,0,0,0,0,0
Sweden,2020-01-31,1,0,10.2,0,0,0,0,0,0,0
United States,2020-01-31,7,1,327.2,0,0,0,0,0,0,0
Australia,2020-02-01,12,0,25,0,0,0,0,0,0,0
Canada,2020-02-01,4,0,37.1,0,0,0,0,0,0,0
Germany,2020-02-01,8,2,82.9,0,0,0,0,0,0,0
Spain,2020-02-01,1,0,46.7,0,0,0,0,0,0,0
Finland,2020-02-01,1,0,5.5,0,0,0,0,0,0,0
France,2020-02-01,6,0,67,0,0,0,0,0,0,0
United Kingdom,2020-02-01,2,0,66.5,0,0,0,0,0,0,0
Italy,2020-02-01,2,0,60.4,0,0,0,0,0,0,0
Sweden,2020-02-01,1,0,10.2,0,0,0,0,0,0,0
United States,2020-02-01,8,0,327.2,0,0,0,0,0,0,0
Australia,2020-02-02,12,0,25,0,0,0,0,0,0,0
Canada,2020-02-02,4,0,37.1,0,0,0,0,0,0,0
Germany,2020-02-02,10,2,82.9,0,0,0,0,0,0,0
Spain,2020-02-02,1,0,46.7,0,0,0,0,0,0,0
Finland,2020-02-02,1,0,5.5,0,0,0,0,0,0,0
France,2020-02-02,6,0,67,0,0,0,0,0,0,0
United Kingdom,2020-02-02,2,0,66.5,0,0,0,0,0,0,0
Italy,2020-02-02,2,0,60.4,0,0,0,0,0,0,0
Sweden,2020-02-02,1,0,10.2,0,0,0,0,0,0,0
United States,2020-02-02,8,3,327.2,0,0,0,0,0,0,0
Belgium,2020-02-03,0,1,11.4,0,0,0,0,0,0,0
